issue_type,path,src_size,dst_size,size_equal,src_modtime_epoch,dst_modtime_epoch,modtime_diff_seconds,within_tolerance
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1930/PUBA004_1930_Puribasi_TIFF/008/PUBA004_1930-02-25_00001.tif,24848090,,,1676171577.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1930/PUBA004_1930_Puribasi_TIFF/008/PUBA004_1930-02-25_00002.tif,24100048,,,1676171579.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1930/PUBA004_1930_Puribasi_TIFF/008/PUBA004_1930-02-25_00003.tif,24847808,,,1676171582.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1930/PUBA004_1930_Puribasi_TIFF/008/PUBA004_1930-02-25_00004.tif,24100132,,,1676171583.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1938/BB009_1938_Baikuntha_Bhikari_TIFF/013/BB009_1938-11-16_00001.tif,24793388,,,1663486194.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1938/BB009_1938_Baikuntha_Bhikari_TIFF/013/BB009_1938-11-16_00002.tif,25065246,,,1663486334.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1938/BB009_1938_Baikuntha_Bhikari_TIFF/013/BB009_1938-11-16_00003.tif,24792940,,,1663486198.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1938/BB009_1938_Baikuntha_Bhikari_TIFF/013/BB009_1938-11-16_00004.tif,24793502,,,1663486340.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1935/BB007_1935_Baikuntha_Bhikari_JPEG/014/BB007_1935-07-08_00001.jpg,1728713,,,1663484372.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1935/BB007_1935_Baikuntha_Bhikari_JPEG/014/BB007_1935-07-08_00002.jpg,1596518,,,1663484614.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1935/BB007_1935_Baikuntha_Bhikari_JPEG/014/BB007_1935-07-08_00003.jpg,1613343,,,1663484376.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1935/BB007_1935_Baikuntha_Bhikari_JPEG/014/BB007_1935-07-08_00004.jpg,1802794,,,1663484620.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1938/BB009_1938_Baikuntha_Bhikari_JPEG/014/BB009_1938-12-07_00001.jpg,1905166,,,1663486572.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1938/BB009_1938_Baikuntha_Bhikari_JPEG/014/BB009_1938-12-07_00002.jpg,2035700,,,1663486740.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1938/BB009_1938_Baikuntha_Bhikari_JPEG/014/BB009_1938-12-07_00003.jpg,2093060,,,1663486578.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1938/BB009_1938_Baikuntha_Bhikari_JPEG/014/BB009_1938-12-07_00004.jpg,1927580,,,1663486744.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1929/PUBA003_1929_Puribasi_JPEG/010/PUBA003_1929-04-02_00001.jpg,1976657,,,1676171150.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1929/PUBA003_1929_Puribasi_JPEG/010/PUBA003_1929-04-02_00002.jpg,1519661,,,1676171151.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1929/PUBA003_1929_Puribasi_JPEG/010/PUBA003_1929-04-02_00003.jpg,1939359,,,1676171151.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1929/PUBA003_1929_Puribasi_JPEG/010/PUBA003_1929-04-02_00004.jpg,1600976,,,1676171151.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1929/PUBA003_1929_Puribasi_JPEG/010/PUBA003_1929-04-02_00005.jpg,1787510,,,1676171153.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1929/PUBA003_1929_Puribasi_JPEG/010/PUBA003_1929-04-02_00006.jpg,1800787,,,1676171153.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1929/PUBA003_1929_Puribasi_TIFF/009/PUBA003_1929-03-05_00001.tif,24267726,,,1676171253.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1929/PUBA003_1929_Puribasi_TIFF/009/PUBA003_1929-03-05_00002.tif,24716746,,,1676171256.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1929/PUBA003_1929_Puribasi_TIFF/009/PUBA003_1929-03-05_00003.tif,24266446,,,1676171257.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1929/PUBA003_1929_Puribasi_TIFF/009/PUBA003_1929-03-05_00004.tif,24718156,,,1676171262.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_TIFF/008/RAT001_1915-07-15_00001.tif,23627552,,,1676171873.0,,,
